Timepoint,Integration_3.5_ppm,Integration_3.3_ppm
1,16591300000,1850710000
2,16816100000,2118990000
3,15617800000,2828960000
4,14513500000,3507860000
5,13819000000,4019790000
6,13263100000,4462330000
7,12892100000,4802640000
8,12476000000,5104320000
9,12095700000,5287240000
10,11728300000,5430190000
11,11465800000,5688860000
12,11315500000,6025610000
13,11045900000,6370740000
14,10808900000,6701480000
15,10480900000,7010510000
16,10181500000,7304560000
17,9918420000,7579290000
18,9643220000,7828150000
19,9432790000,8098720000
20,9194070000,8323950000
21,8971060000,8534010000
22,8781150000,8731730000
23,8597770000,8923310000
24,8414760000,9104870000
25,8247250000,9270880000
26,8079540000,9424080000
27,7921860000,9565940000
28,7788600000,9701720000
29,7647310000,9824820000
30,7512990000,9939670000
31,7405860000,10045200000
32,7299280000,10146600000
33,7191940000,10235800000
34,7096840000,10330800000
35,6995360000,10421800000
36,6898390000,10506500000
37,6807320000,10581000000
38,6724690000,10635600000
39,6629830000,10694200000
40,6567130000,10762900000
41,6487630000,10828400000
42,6388700000,10899400000
43,6318880000,10959700000
44,6258190000,11006400000
45,6198780000,11041600000
46,6146410000,11111700000
47,6091320000,11177800000
48,6038290000,11231500000
49,5980180000,11290500000
50,5929910000,11333200000
51,5882500000,11368100000
52,5845120000,11402500000
53,5799200000,11437600000
54,5761140000,11487500000
55,5731440000,11508000000
56,5682460000,11549200000
57,5663930000,11573900000
58,5619960000,11609200000
59,5587810000,11641900000
60,5548890000,11682000000
