#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),Y4(X),Y4'(X),Y5(X),Y5'(X),Y6(X),Y6'(X)
Model,ARR_DATA(I),"Integral(7.267,7.205)",G= 0.441982,"Integral(7.170,7.095)",G= 0.460624,"Integral(3.801,3.673)",G= 0.479853,"Integral(2.529,2.438)",G= 0.869925,"Integral(1.948,1.813)",G= 0.5077,"Integral(1.576,1.475)",G= 1.36596,"Integral(0.977,0.877)",G= 0.888414
1,0.001,-58232194.01,-57945240.43,-58692047.98,-58361598.29,-29709785.69,-29459900.71,-57613893.58,-57808210.86,-28631154.96,-28310009.87,-85653399.11,-85854489.01,-172088001.5,-172109180.5
2,0.05,-55423870.79,-55285926.21,-55795304.01,-55572543.06,-28165575.32,-27983108.74,-52543436.35,-52597552.83,-27083143.7,-26797202.88,-73764986.78,-73778129.59,-156172078.9,-156133950.8
3,0.1,-52755384.65,-52631061.57,-52938126.65,-52790722.47,-26648227.67,-26511548.69,-47482133.19,-47504636.18,-25327411.02,-25291831.74,-62254865.7,-62260890.66,-140524942.5,-140533982.8
4,0.25,-44941828.63,-45009582.11,-44699628.79,-44819544.52,-22119318.66,-22302898.44,-33586678.5,-33490017.16,-20837213.36,-20998356.29,-32227670.87,-32073778.08,-97540283.92,-97684336.23
5,0.5,-33079049.63,-33377986,-32337859.25,-32699184.95,-15620524.29,-15927919.58,-14036092.69,-13837563.37,-14184703.67,-14530713.92,6063846.844,6329911.751,-37809825.05,-37815566.27
6,0.8,-20642149.73,-21014772.69,-19427707.52,-19882092.63,-8885377.91,-9221893.06,4504327.711,4743828.65,-7352378.15,-7778901.903,37905077.27,38050560.78,18236474.88,18505365.1
7,1.5,2398140.253,2188302.589,4235133.35,3956314.661,3196361.784,3134968.437,33203125.36,33162970.24,4663540.237,4495910.015,77077672.2,76606298.37,103881778.9,103898184.1
8,3,32900539.41,33204402.42,34834368.56,35213091.47,18688091.84,19018950.57,58428144.81,57864098.19,19385763.47,19828971.83,98360711.72,97575579.61,177084709.1,176792731
9,5,52119686.92,52556886.01,53476368.75,54112466.63,28012062.93,28317355.35,65964454.41,65442379.91,27842625.12,28394670.59,100856459.7,100475746.1,198839248,198492280.1
10,10,64576703.02,64686131.96,65248341.48,65359605.32,33607748.84,33565420.73,66967249.64,67035150.91,32988805.34,32875944.04,100753112.3,100677454.3,203058241.5,202858761.2
11,12,65626146.35,65563300.99,66204565.17,66111439.04,33924635.82,33888736.44,66899149.75,67052327.81,33228604.4,33121032.68,100430126.2,100677658.4,202756497,202901974.6
12,15,66131536.01,66016835.65,66650470.7,66483716.96,34103109.91,34041865.26,66861367.25,67055716.2,33285408.62,33229896.21,100300756.1,100677672.4,202781014.3,202910161.5
13,17,66283251.46,66113070.16,66740116.67,66558860.08,34177272.55,34071217.41,66888408.72,67055937.98,33461089.93,33249254.47,100458249.3,100677672.6,202882471.9,202910670.2
14,20,66265662.37,66162827.6,66767185.65,66596067.94,34155890.04,34085119.18,66776417.89,67055981.73,33306683.98,33257853.02,100153850.5,100677672.6,202518574.1,202910766.6
