Time(s),7.2_ppm,7.1_ppm,3.7_ppm,2.5_ppm,1.9_ppm,1.5_ppm,0.9_ppm
0.05,-162885.32421875,-162306.76904297,-80722.98242188,-153871.15039063,-79104.21533203,-216684.11230469,-458164.31494141
0.11,-154924.75878906,-153773.73730469,-76314.50097656,-138198.9765625,-74199.25,-180093.16943359,-408792.75439453
0.23,-139766.52441406,-137715.46069336,-67926.02246094,-109190.86352539,-64802.32373047,-114482.99267578,-315141.22802734
0.46,-112673.04699707,-109142.05480957,-53136.02832031,-60301.97949219,-48382.22729492,-12551.29394531,-160680.29589844
0.92,-65336.16775513,-59692.36019897,-27959.34997559,15407.57427979,-21192.1227417,122369.14599609,74055.75128174
1.85,8071.92471313,15549.15032959,9709.40231323,107688.94854736,18421.15740967,243767.76101685,350442.99966431
3.7,97173.97354126,103652.86149597,53605.1918869,175717.66759491,60838.09551239,293242.78242493,542746.55949402
7.4,167925.43084717,170277.06639862,86591.55509567,194679.63197708,89561.66191101,295919.93860245,595652.45101547
11.8,189287.26642227,189341.277565,95679.00464249,194466.02436447,97117.97074032,294862.12695313,598987.45423889
16.0,193965.92560577,193293.66148376,97310.81246567,194105.46950531,98653.01436806,294625.45129013,599892.31007767
